5.549833,0
5.549833,4
5.93461,0
5.93461,4
8.460526,4
8.805744,0
11.33057,0
11.68313,4
15.00635,0
15.00635,4
15.12279,0
15.12279,4
15.22714,0
15.22714,4
15.31809,0
15.31809,4
15.40697,0
15.40697,4
15.50621,0
15.50621,4
15.64046,0
15.64046,4
15.75461,0
15.75461,4
15.86065,0
15.86065,4
15.98546,0
15.98546,4
16.09432,0
16.09432,4
16.19513,0
16.19513,4
16.31099,0
16.31099,4
16.41059,0
16.41059,4
16.51504,0
16.51504,4
16.61023,0
16.61023,4
16.71025,0
16.71025,4
16.83597,0
16.83597,4
16.92788,0
16.92788,4
